date,gender,age_group,cases,deaths
2021-04-25,female,00-09,123,
2021-04-25,female,10-19,212,
2021-04-25,female,20-29,316,
2021-04-25,female,30-39,337,
2021-04-25,female,40-49,261,
2021-04-25,female,50-59,219,
2021-04-25,female,60-69,149,
2021-04-25,female,70-79,72,
2021-04-25,female,80-89,88,
2021-04-25,female,90+,54,
2021-04-25,female,total,1831,
2021-04-25,male,00-09,113,
2021-04-25,male,10-19,197,
2021-04-25,male,20-29,255,
2021-04-25,male,30-39,345,
2021-04-25,male,40-49,275,
2021-04-25,male,50-59,258,
2021-04-25,male,60-69,133,
2021-04-25,male,70-79,99,
2021-04-25,male,80-89,71,
2021-04-25,male,90+,24,
2021-04-25,male,total,1770,
2021-04-25,total,00-09,240,
2021-04-25,total,10-19,410,
2021-04-25,total,20-29,575,
2021-04-25,total,30-39,686,
2021-04-25,total,40-49,540,
2021-04-25,total,50-59,479,
2021-04-25,total,60-69,285,
2021-04-25,total,70-79,171,
2021-04-25,total,80-89,159,
2021-04-25,total,90+,79,
2021-04-25,total,total,3624,
2021-04-26,female,00-09,957,
2021-04-26,female,10-19,2264,
2021-04-26,female,20-29,2936,
2021-04-26,female,30-39,2948,
2021-04-26,female,40-49,2804,
2021-04-26,female,50-59,2582,
2021-04-26,female,60-69,1624,
2021-04-26,female,70-79,776,
2021-04-26,female,80-89,532,
2021-04-26,female,90+,265,
2021-04-26,female,total,17695,
2021-04-26,male,00-09,1008,
2021-04-26,male,10-19,2250,
2021-04-26,male,20-29,2885,
2021-04-26,male,30-39,2607,
2021-04-26,male,40-49,2502,
2021-04-26,male,50-59,2467,
2021-04-26,male,60-69,1430,
2021-04-26,male,70-79,732,
2021-04-26,male,80-89,287,
2021-04-26,male,90+,123,
2021-04-26,male,total,16300,
2021-04-26,total,00-09,2014,
2021-04-26,total,10-19,4587,
